conceptUri,reuseLevel,preferredLabel,altLabels
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,cross-sector,identify available services,"establish available services
identify available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services"
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,cross-sector,perform toxicological studies,"perform toxicological studies
apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies"
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,transversal,show initiative,"take the initiative
give impetus
be a driving force
demonstrate sense of initiative
initiate action
show sense of initiative
show active initiative"
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,cross-sector,apply diplomatic principles,"utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
apply diplomatic principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles"
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,cross-sector,develop energy saving concepts,"developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing"
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,cross-sector,sport and exercise medicine,"sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine"
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,cross-sector,install heat pump,"install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing"
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,cross-sector,teach housekeeping skills,"teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill"
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,cross-sector,influence public policies,lobbying for public policies
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,cross-sector,apply credit risk policy,"administer credit risk policy
implement credit risk policy
employ credit risk policy
applying credit risk policy
apply a credit risk policy
apply credit risk policy
utilise credit risk policy
credit risk policy application"
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,cross-sector,draft scientific or academic papers and technical documentation,"design a rehabilitation programme
compile a rehabilitation plan
develop a rehabilitation program
set up rehabilitation plan
develop rehabilitation programmes
develop rehabilitation programs"
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,cross-sector,develop a rehabilitation programme,"play the role of contact person during equipment damage
act as contact person during equipment incident
be the contact person during equipment incident
play the role of a contact person during investigation
engage as a contact person during investigation
take responsibility as a contact person during incident
be the contact person during investigation"
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,cross-sector,act as contact person during equipment incident,"inspect offshore constructions
evaluate offshore constructions
inspect offshore construction
inspeting offshore constructions
examine offshore constructions
check offshore constructions
assess offshore constructions"
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,cross-sector,inspect offshore constructions,"cooperate with typists
liaising with typists
liaise with typists
work together with typists
collaborate with typists
liaise with typist"
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,cross-sector,liaise with typists,"implement environmental choices in your own eating habit
adopt a sustainable eating habit
promoting organic and biological food consumption
take animal welfare into account when buying food products
concretely support biodiversity and animal welfare
take sustainability issues into account in consumption choices"
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,transversal,adopt ways to foster biodiversity and animal welfare,"organize labor
labour organising
workers organising
worker organising
organise workers
organising workers
organising labour"
